Epoch 162 | train_loss: 1.185604 | train_acc: 0.8541
Epoch 163 | train_loss: 1.184575 | train_acc: 0.8536
Epoch 164 | train_loss: 1.179106 | train_acc: 0.8554
Epoch 165 | train_loss: 1.177985 | train_acc: 0.8556
Epoch 166 | train_loss: 1.177668 | train_acc: 0.8577
Epoch 167 | train_loss: 1.174745 | train_acc: 0.8592
Epoch 168 | train_loss: 1.176088 | train_acc: 0.8600
Epoch 169 | train_loss: 1.174682 | train_acc: 0.8605
Epoch 170 | train_loss: 1.171384 | train_acc: 0.8627
Epoch 171 | train_loss: 1.168855 | train_acc: 0.8638
Epoch 172 | train_loss: 1.168480 | train_acc: 0.8667
Epoch 173 | train_loss: 1.165774 | train_acc: 0.8663
Epoch 174 | train_loss: 1.163406 | train_acc: 0.8700
Epoch 175 | train_loss: 1.162649 | train_acc: 0.8701
Epoch 176 | train_loss: 1.161696 | train_acc: 0.8712
Epoch 177 | train_loss: 1.156576 | train_acc: 0.8733
Epoch 178 | train_loss: 1.156769 | train_acc: 0.8748
Epoch 179 | train_loss: 1.153793 | train_acc: 0.8750
Epoch 180 | train_loss: 1.151510 | train_acc: 0.8760
Epoch 181 | train_loss: 1.152507 | train_acc: 0.8776
Epoch 182 | train_loss: 1.152601 | train_acc: 0.8760
Epoch 183 | train_loss: 1.150250 | train_acc: 0.8782
Epoch 184 | train_loss: 1.144047 | train_acc: 0.8795
Epoch 185 | train_loss: 1.149383 | train_acc: 0.8786
Epoch 186 | train_loss: 1.138512 | train_acc: 0.8811
Epoch 187 | train_loss: 1.145220 | train_acc: 0.8803
Epoch 188 | train_loss: 1.141913 | train_acc: 0.8785
Epoch 189 | train_loss: 1.137379 | train_acc: 0.8815
Epoch 190 | train_loss: 1.138829 | train_acc: 0.8812
Epoch 191 | train_loss: 1.134350 | train_acc: 0.8817
Epoch 192 | train_loss: 1.134616 | train_acc: 0.8818
Epoch 193 | train_loss: 1.128065 | train_acc: 0.8828
Epoch 194 | train_loss: 1.126729 | train_acc: 0.8830
Epoch 195 | train_loss: 1.120731 | train_acc: 0.8853
Epoch 196 | train_loss: 1.125507 | train_acc: 0.8826
Epoch 197 | train_loss: 1.118786 | train_acc: 0.8856
Epoch 198 | train_loss: 1.121782 | train_acc: 0.8837
Epoch 199 | train_loss: 1.126524 | train_acc: 0.8818
Epoch 200 | train_loss: 1.110215 | train_acc: 0.8858
